Sport,Venue,Zone,Session Code,Date,Games Day,Session Type,Session Description,Start Time,End Time
Squash,Comcast Squash Center at Universal Studios,Universal City,SQU01,7/15/2028,1,Preliminary,Men's and Women's Round of 16 (4 Matches),19:30,23:15
Squash,Comcast Squash Center at Universal Studios,Universal City,SQU02,7/16/2028,2,Preliminary,Men's and Women's Round of 16 (4 Matches),19:30,23:15
Squash,Comcast Squash Center at Universal Studios,Universal City,SQU03,7/17/2028,3,Preliminary,Men's and Women's Round of 16 (4 Matches),19:30,23:15
Squash,Comcast Squash Center at Universal Studios,Universal City,SQU04,7/18/2028,4,Preliminary,Men's and Women's Round of 16 (4 Matches),19:30,23:15
Squash,Comcast Squash Center at Universal Studios,Universal City,SQU05,7/19/2028,5,Quarterfinal,Men's and Women's Quarterfinal (4 Matches),19:30,23:15
Squash,Comcast Squash Center at Universal Studios,Universal City,SQU06,7/20/2028,6,Quarterfinal,Men's and Women's Quarterfinal (4 Matches),19:30,23:15
Squash,Comcast Squash Center at Universal Studios,Universal City,SQU07,7/21/2028,7,Semifinal,Women's Semifinal (2 Matches),20:30,23:15
Squash,Comcast Squash Center at Universal Studios,Universal City,SQU08,7/22/2028,8,Semifinal,Men's Semifinal (2 Matches),20:30,23:15
Squash,Comcast Squash Center at Universal Studios,Universal City,SQU09,7/23/2028,9,Final,Women's Bronze Medal Match | Women's Gold Medal Match,20:30,23:30
Squash,Comcast Squash Center at Universal Studios,Universal City,SQU10,7/24/2028,10,Final,Men's Bronze Medal Match | Men's Gold Medal Match,20:30,23:30
Surfing,Trestles State Beach,Trestles Beach,SRF01,7/15/2028,1,Preliminary,Men's Round 1 | Women's Round 1,7:00,16:30
Surfing,Trestles State Beach,Trestles Beach,SRF02,7/16/2028,2,Preliminary,Men's Round 2 | Women's Round 2,7:00,16:30
Surfing,Trestles State Beach,Trestles Beach,SRF03,7/17/2028,3,Preliminary,Men's Round 3 | Women's Round 3,7:00,16:30
Surfing,Trestles State Beach,Trestles Beach,SRF04,7/18/2028,4,Final,Men's Quarterfinal | Women's Quarterfinal | Men's Semifinal | Women's Semifinal | Men's Bronze Medal Match | Women's Bronze Medal Match | Men's Gold Medal Match | Women's Gold Medal Match,7:00,17:30
Swimming,2028 Stadium,Inglewood,SWM01,7/22/2028,8,Preliminary,Women's 100m Butterfly Heats | Men's 400m Freestyle Heats | Men's 50m Butterfly Heats | Women's 50m Backstroke Heats | Men's 100m Breaststroke Heats | Women's 400m Freestyle Heats | Women's 4x100m Freestyle Relay Heats | Men's 4x100m Freestyle Relay Heats,9:30,11:30
Swimming,2028 Stadium,Inglewood,SWM02,7/22/2028,8,Final,Men's 400m Freestyle Final | Women's 100m Butterfly Semifinal | Men's 50m Butterfly Semifinal | Women's 400m Freestyle Final | Men's 100m Breaststroke Semifinal | Women's 50m Backstroke Semifinal | Men's 4x100m Freestyle Relay Final | Women's 4x100m Freestyle Relay Final,18:00,20:00
Swimming,2028 Stadium,Inglewood,SWM03,7/23/2028,9,Preliminary,Women's 100m Breaststroke Heats | Men's 100m Backstroke Heats | Women's 100m Freestyle Heats | Men's 400m Individual Medley Heats,9:30,11:30
Swimming,2028 Stadium,Inglewood,SWM04,7/23/2028,9,Final,Women's 100m Butterfly Final | Men's 50m Butterfly Final | Women's 100m Breaststroke Semifinal | Men's 400m Individual Medley Final | Men's 100m Backstroke Semifinal | Women's 100m Freestyle Semifinal | Men's 100m Breaststroke Final | Women's 50m Backstroke Final,18:00,20:00
Swimming,2028 Stadium,Inglewood,SWM05,7/24/2028,10,Preliminary,Women's 400m Individual Medley Heats | Men's 200m Freestyle Heats | Women's 100m Backstroke Heats | Men's 50m Breaststroke Heats | Men's 200m Butterfly Heats | Men's 1500m Freestyle Heats,9:30,11:30
Swimming,2028 Stadium,Inglewood,SWM06,7/24/2028,10,Final,Women's 100m Freestyle Final | Men's 200m Freestyle Semifinal | Women's 100m Backstroke Semifinal | Men's 100m Backstroke Final | Women's 100m Breaststroke Final | Men's 50m Breaststroke Semifinal | Men's 200m Butterfly Semifinal | Women's 400m Individual Medley Final,18:00,20:00
Swimming,2028 Stadium,Inglewood,SWM07,7/25/2028,11,Preliminary,Women's 200m Freestyle Heats | Men's 50m Freestyle Heats | Women's 200m Breaststroke Heats | Women's 1500m Freestyle Heats,9:30,11:30
Swimming,2028 Stadium,Inglewood,SWM08,7/25/2028,11,Final,Women's 200m Breaststroke Semifinal | Men's 200m Freestyle Final | Men's 50m Breaststroke Final | Men's 1500m Freestyle Final | Women's 200m Freestyle Semifinal | Men's 200m Butterfly Final | Men's 50m Freestyle Semifinal | Women's 100m Backstroke Final,18:00,20:00
Swimming,2028 Stadium,Inglewood,SWM09,7/26/2028,12,Preliminary,Men's 200m Individual Medley Heats | Women's 50m Butterfly Heats | Men's 200m Backstroke Heats | Men's 4x200m Freestyle Relay Heats,9:30,11:30
Swimming,2028 Stadium,Inglewood,SWM10,7/26/2028,12,Final,Men's 200m Individual Medley Semifinal | Women's 200m Freestyle Final | Men's 50m Freestyle Final | Women's 50m Butterfly Semifinal | Women's 200m Breaststroke Final | Men's 200m Backstroke Semifinal | Women's 1500m Freestyle Final | Men's 4x200m Freestyle Relay Final,18:00,20:00
Swimming,2028 Stadium,Inglewood,SWM11,7/27/2028,13,Preliminary,Women's 200m Individual Medley Heats | Men's 200m Breaststroke Heats | Men's 100m Freestyle Heats | Women's 200m Backstroke Heats | Women's 4x200m Freestyle Relay Heats,9:30,11:30
Swimming,2028 Stadium,Inglewood,SWM12,7/27/2028,13,Final,Women's 200m Individual Medley Semifinal | Men's 200m Backstroke Final | Men's 200m Breaststroke Semifinal | Women's 50m Butterfly Final | Men's 100m Freestyle Semifinal | Women's 200m Backstroke Semifinal | Men's 200m Individual Medley Final | Women's 4x200m Freestyle Relay Final,18:00,20:00
Swimming,2028 Stadium,Inglewood,SWM13,7/28/2028,14,Preliminary,Men's 100m Butterfly Heats | Men's 50m Backstroke Heats | Women's 50m Breaststroke Heats | Men's 800m Freestyle Heats | 4x100m Mixed Medley Relay Heats,9:30,11:30
Swimming,2028 Stadium,Inglewood,SWM14,7/28/2028,14,Final,Men's 100m Butterfly Semifinal | Women's 200m Backstroke Final | Men's 200m Breaststroke Final | Women's 50m Breaststroke Semifinal | Men's 50m Backstroke Semifinal | Women's 200m Individual Medley Final | Men's 100m Freestyle Final,18:00,20:00
Swimming,2028 Stadium,Inglewood,SWM15,7/29/2028,15,Preliminary,Women's 50m Freestyle Heats | Women's 200m Butterfly Heats | Women's 800m Freestyle Heats | Men's 4x100m Medley Relay Heats | Women's 4x100m Medley Relay Heats,9:30,11:30
Swimming,2028 Stadium,Inglewood,SWM16,7/29/2028,15,Final,Women's 50m Freestyle Semifinal | Men's 100m Butterfly Final | Men's 50m Backstroke Final | Women's 50m Breaststroke Final | Men's 800m Freestyle Final | Women's 200m Butterfly Semifinal | 4x100m Mixed Medley Relay Final,18:00,20:00
Swimming,2028 Stadium,Inglewood,SWM17,7/30/2028,16,Final,Women's 50m Freestyle Final | Women's 200m Butterfly Final | Women's 800m Freestyle Final | Men's 4x100m Medley Relay Final | Women's 4x100m Medley Relay Final,15:00,16:30
Table Tennis,LA Convention Center Hall 3,DTLA,TTE01,7/15/2028,1,Preliminary,Men's Singles Round of 64 | Women's Singles Round of 64 | Mixed Doubles Round of 16,10:00,13:00
Table Tennis,LA Convention Center Hall 3,DTLA,TTE02,7/15/2028,1,Preliminary,Men's Doubles Round of 16 | Women's Doubles Round of 16,14:30,17:30
Table Tennis,LA Convention Center Hall 3,DTLA,TTE03,7/15/2028,1,Preliminary,Men's Singles Round of 64 | Women's Singles Round of 64,19:30,22:30
Table Tennis,LA Convention Center Hall 3,DTLA,TTE04,7/16/2028,2,Quarterfinal,Mixed Doubles Quarterfinal | Men's Singles Round of 64 | Women's Singles Round of 64,10:00,13:00
Table Tennis,LA Convention Center Hall 3,DTLA,TTE05,7/16/2028,2,Preliminary,Men's Singles Round of 64 | Women's Singles Round of 64,15:30,18:30
Table Tennis,LA Convention Center Hall 3,DTLA,TTE06,7/16/2028,2,Semifinal,Mixed Doubles Semifinal | Men's Singles Round of 64 | Women's Singles Round of 64,20:15,23:15
Table Tennis,LA Convention Center Hall 3,DTLA,TTE07,7/17/2028,3,Quarterfinal,Men's Doubles Quarterfinal | Women's Doubles Quarterfinal | Men's Singles Round of 64 | Women's Singles Round of 64,10:00,13:00
Table Tennis,LA Convention Center Hall 3,DTLA,TTE08,7/17/2028,3,Preliminary,Men's Singles Round of 64 | Women's Singles Round of 64,15:00,18:00
Table Tennis,LA Convention Center Hall 3,DTLA,TTE09,7/17/2028,3,Final,Mixed Doubles Bronze Medal Match | Mixed Doubles Gold Medal Match,21:00,23:15
Table Tennis,LA Convention Center Hall 3,DTLA,TTE10,7/18/2028,4,Semifinal,Men's Doubles Semifinal | Men's Singles Round of 32 | Women's Singles Round of 32,10:00,13:00
Table Tennis,LA Convention Center Hall 3,DTLA,TTE11,7/18/2028,4,Preliminary,Men's Singles Round of 32 | Women's Singles Round of 32,15:00,18:00
Table Tennis,LA Convention Center Hall 3,DTLA,TTE12,7/18/2028,4,Final,Men's Doubles Bronze Medal Match | Men's Doubles Gold Medal Match,21:00,23:15
Table Tennis,LA Convention Center Hall 3,DTLA,TTE13,7/19/2028,5,Semifinal,Women's Doubles Semifinal | Men's Singles Round of 32 | Women's Singles Round of 32,10:00,13:00
